timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-16_22-33-00,0,0.0,14.5,0.0,0.0,-1.6044733387388986e-05
2023-01-16_22-33-01,101,56.33033972202382,0.0,0.14400746532240236,0.0,1.3004163853315553
2023-01-16_22-33-02,201,96.81748245973057,0.0,0.13926667322113118,0.0,2.520776208093019
2023-01-16_22-33-03,301,97.85481757696387,0.0,0.13926667322113118,0.0,2.666966081898212
2023-01-16_22-33-04,401,94.46147485720618,0.0,0.13926667322113118,0.0,2.188748063691873
2023-01-16_22-33-05,501,93.75773130729199,0.0,0.13926667322113118,0.0,2.089570682107057
2023-01-16_22-33-06,601,94.75317391788883,0.0,0.13926667322113118,0.0,2.229856716201416
2023-01-16_22-33-07,701,95.66718928415969,0.0,0.13926667322113118,0.0,2.3586673472417754
2023-01-16_22-33-08,801,95.32492654691782,0.0,0.13926667322113118,0.0,2.3104328417918296
2023-01-16_22-33-09,901,95.32492654691782,0.0,0.13926667322113118,0.0,2.3104328417918296
2023-01-16_22-33-10,1002,95.32492654691782,0.0,0.13926667322113118,0.0,2.3104328417918296
2023-01-16_22-33-11,1102,89.78512996133666,0.0,0.13832047188513436,0.0,1.6284739128943735
2023-01-16_22-33-12,1202,70.67802629160582,0.0,0.05573672086592363,0.0,1.3215436400455813
2023-01-16_22-33-13,1302,15.7,0.0,-0.0017730134492903948,0.0,1.1210213986622817
2023-01-16_22-33-14,1402,20.252876425536016,0.0,-0.03257276576405372,0.0,0.5677661874830779
2023-01-16_22-33-15,1502,64.5503148195664,0.0,-0.20820564510184858,0.0,2.0573570710982256
2023-01-16_22-33-16,1602,15.7,0.0,-0.2525808709432807,0.0,0.6950647626061794
2023-01-16_22-33-17,1703,43.21475871194595,0.0,-0.1158980111471411,0.0,1.1349303007472828
2023-01-16_22-33-18,1803,39.30072410669921,0.0,0.13442528444487298,0.0,1.988870386520814
2023-01-16_22-33-19,1903,25.69241551126352,0.0,0.0751308685991681,0.0,0.950963009940433
2023-01-16_22-33-20,2003,15.7,0.0,0.029654484075829098,0.0,1.3907302194720321
2023-01-16_22-33-21,2103,26.16619003239526,0.0,0.016120352481526747,0.0,0.9131343968714596
2023-01-16_22-33-22,2203,30.340615046953303,0.0,0.002736835008371779,0.0,1.2939649043557053
2023-01-16_22-33-23,2303,27.884680258850423,0.0,9.984226365732556e-05,0.0,1.0995873622811403
2023-01-16_22-33-24,2404,15.7,0.0,-0.0023352158427067376,0.0,0.5571501473184615
2023-01-16_22-33-25,2504,15.7,0.0,-0.004734149654821486,0.0,0.8595893669669642
2023-01-16_22-33-26,2604,15.7,0.0,-0.0042281395052922895,0.0,0.7707630274613069
2023-01-16_22-33-27,2704,15.7,0.0,-0.005176612373034467,0.0,0.738385528924402
2023-01-16_22-33-28,2804,15.7,0.0,-0.004597853798360318,0.0,0.6700385769989855
2023-01-16_22-33-29,2904,15.7,0.0,-0.003795390119033576,0.0,0.5484506064859902
2023-01-16_22-33-30,3004,15.7,0.0,-0.00462434189756177,0.0,0.20009760774655092
2023-01-16_22-33-31,3104,15.7,0.0,-0.005935155218014361,0.0,0.35863687100880287
2023-01-16_22-33-32,3205,0.0,14.5,-0.004000397225204816,0.0,-0.010784495318994225
2023-01-16_22-33-33,3305,15.7,0.0,-0.002620406187818553,0.0,0.22280566718342132
2023-01-16_22-33-34,3405,15.7,0.0,-0.0023340080285312393,0.0,0.2880018180892645
2023-01-16_22-33-35,3505,15.7,0.0,-0.0024353674265959985,0.0,0.12538055042447555
2023-01-16_22-33-36,3605,15.7,0.0,-0.002870846779598283,0.0,0.26921389698901815
2023-01-16_22-33-37,3705,15.7,0.0,-0.0013155799071724724,0.0,0.19277944734428243
2023-01-16_22-33-38,3805,15.7,0.0,0.00011846157787505033,0.0,0.1591398864147061
2023-01-16_22-33-39,3906,15.7,0.0,0.00011206040640716487,0.0,0.07511958362323867
2023-01-16_22-33-40,4006,15.7,0.0,-0.0028439918015216595,0.0,0.23721492529587573
2023-01-16_22-33-41,4106,15.7,0.0,-0.007514398703951038,0.0,0.1645150608953609
2023-01-16_22-33-42,4206,0.0,20.155719811827144,-0.011350338669505102,0.0,-0.20421339083344037
2023-01-16_22-33-43,4306,0.0,21.13184025522934,-0.009423745863900905,0.0,-0.35684785514321726
2023-01-16_22-33-44,4406,0.0,23.069918027120774,-0.008949617181601921,0.0,-0.6623670464101343
2023-01-16_22-33-45,4507,0.0,17.644050307453597,-0.0025058098091114353,0.0,-0.6860074793771883
2023-01-16_22-33-46,4607,0.0,23.308848707074027,0.01803599459041487,0.0,-1.4294945709986238
2023-01-16_22-33-47,4707,0.0,33.61921985541497,0.042508615734506844,0.0,-2.404683545830667
2023-01-16_22-33-48,4807,0.0,43.50095525430857,0.058268828485761766,0.0,-0.7374476537679004
2023-01-16_22-33-49,4907,0.0,24.197303160198796,0.07857209922645107,0.0,-1.436519528660675
2023-01-16_22-33-50,5008,0.0,25.63915282476956,0.0919375461559079,0.0,-1.4924105316311038
2023-01-16_22-33-51,5108,0.0,40.066139760287896,0.10445051664251442,0.0,-2.998595882141876
2023-01-16_22-33-52,5208,0.0,35.00713068460398,0.11698194883629877,0.0,-2.4345366499212213
2023-01-16_22-33-53,5308,0.0,21.37124452888395,0.11864933724670626,0.0,-1.0300882409818228
2023-01-16_22-33-54,5408,0.0,17.477253444328987,0.10621577304114026,0.0,-0.7186352066597392
2023-01-16_22-33-55,5508,0.0,65.96338481145773,0.10904067135739937,0.0,-0.24745636193870196
2023-01-16_22-33-56,5608,0.0,76.09329457994819,0.10904067135739937,0.0,-0.2173866376224619
2023-01-16_22-33-57,5709,0.0,81.25400658230771,0.10904067135739937,0.0,-0.1875109593262948
2023-01-16_22-33-58,5809,0.0,53.99229037029876,0.10904067135739937,0.0,-0.15796257614611317
2023-01-16_22-33-59,5909,0.0,51.52988392126009,0.10904067135739937,0.0,-0.12841808463943533
2023-01-16_22-34-00,6009,0.0,49.624413969805694,0.10904067135739937,0.0,-0.09887316947607189
2023-01-16_22-34-01,6109,0.0,48.64343384289915,0.10904067135739937,0.0,-0.06931358826099625
2023-01-16_22-34-02,6209,0.0,47.65588594707077,0.10904067135739937,0.0,-0.03977000997452603
2023-01-16_22-34-03,6310,0.0,46.35201871311515,0.10904067135739937,0.0,-0.009928220895162383
2023-01-16_22-34-04,6410,32.539213983040774,0.0,0.10904067135739937,0.0,0.01961867831132373
2023-01-16_22-34-05,6510,15.7,0.0,0.10904067135739937,0.0,0.04916557751781015
2023-01-16_22-34-06,6610,15.7,0.0,0.10904067135739937,0.0,0.07871247672429657
2023-01-16_22-34-07,6710,15.7,0.0,0.10904067135739937,0.0,0.10825937593078269
2023-01-16_22-34-08,6811,15.7,0.0,0.10904067135739937,0.0,0.13810174412933426
2023-01-16_22-34-09,6911,15.7,0.0,0.10904067135739937,0.0,0.16764864333582105
2023-01-16_22-34-10,7011,15.7,0.0,0.10904067135739937,0.0,0.19719554254230784
2023-01-16_22-34-11,7111,34.1689612050583,0.0,0.10904067135739937,0.0,0.22674244174879463
2023-01-16_22-34-12,7204,55.870438574083515,0.0,0.10904067135739937,0.0,0.25422105801082734
