timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-16_19-25-37,0,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-38,100,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-39,200,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-40,300,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-41,400,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-42,500,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-43,600,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-44,700,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-45,801,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-46,901,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-47,1001,0.0,50.0,0.0,0.0,0.0
2023-01-16_19-25-48,1101,0.0,14.5,0.0,0.0,-0.0014985614739305363
2023-01-16_19-25-49,1201,0.0,14.5,0.0,0.0,-0.0012795486780179436
2023-01-16_19-25-50,1301,63.309228591579874,0.0,0.16610530746235663,0.0,1.076855812590925
2023-01-16_19-25-51,1402,81.23373610762519,0.0,0.12120675259838001,0.0,1.3430783563509192
2023-01-16_19-25-52,1501,39.72681421397102,0.0,0.037805931124925016,0.0,1.2528866293104421
2023-01-16_19-25-53,1602,49.78133324979833,0.0,-0.03920622680262508,0.0,1.6117951899707874
2023-01-16_19-25-54,1702,87.98791207291373,0.0,-0.14808083237692632,0.0,2.11730141660802
2023-01-16_19-25-55,1802,42.19824618514327,0.0,-0.18920319685018716,0.0,1.9003117792780193
2023-01-16_19-25-56,1902,16.68656183804574,0.0,0.008376664154267528,0.0,0.367581844550104
2023-01-16_19-25-57,2002,17.405649606517493,0.0,0.1844327967865857,0.0,0.3928253827210814
2023-01-16_19-25-58,2102,20.905963441512878,0.0,0.09113219071411252,0.0,1.3461833054532226
2023-01-16_19-25-59,2202,15.7,0.0,0.0409535628514927,0.0,1.4849042589125703
