instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario0,0,10.063191184397066,26.636477545750804,18.32181283583103,29.96130143217342,7,5,11.674778771156872,26.60840956023146,28.59523064689593,38.39360137416605,99.98294948269569,3.1755524745561514,2,2,2,1,19.691882021591745,17.07352401955463,17.0364533344017,13.541754401744996,8.944560384395263,28.59523064689593,2,2,28.641150632435487,32.566378401933484,av-fuzzer
scenario1,0,11.53461291323909,22.48982642859999,10.475889684367875,20.463162523953873,4,9,11.644378937798917,22.273458861575293,20.432361089700215,26.81692296880109,65.30538363862908,3.6908893114758436,1,1,2,2,22.48982642859999,16.008990754029952,3.6921543417897427,10.63814641075258,8.006047837191657,22.273458861575293,1,0,17.385800793432907,46.76483544325459,av-fuzzer
scenario2,0,12.665354910861717,20.87396658418073,16.788452662928442,26.416173598846434,5,6,11.67957976839667,20.79457988945524,26.402140109751755,29.078177570990974,75.08086972623055,3.8813143361232685,2,2,1,0,8.27799329513488,26.416173598846434,21.552671064213413,11.712757108085436,8.94787199891786,26.402140109751755,2,1,15.656116407345653,39.02893213909822,av-fuzzer
scenario3,0,9.438097254509376,22.00276967126554,10.931362091177435,25.262246358485186,8,5,11.680660513893734,21.517340652814834,24.887121037983903,34.525736873360636,90.07075604754465,3.778749766476673,1,2,1,2,13.34487890303075,9.793405301674659,9.792675053765766,5.8592663695279175,7.3163922262980545,24.887121037983903,2,1,25.262246358485186,28.289988209425125,av-fuzzer
scenario4,0,10.063191184397066,26.636477545750804,11.248098802781989,25.262246358485186,7,5,11.645220130872262,26.616915689837324,22.372508123697195,31.17972662034724,71.94127076212982,3.803653224908843,1,2,1,2,6.386136170583861,0.3123663245688546,0.30515026939567613,5.101452088822491,7.2737108762611555,26.616915689837324,1,0,26.636477545750804,16.5339513996566,av-fuzzer
scenario5,0,11.53461291323909,22.48982642859999,10.475889684367875,20.463162523953873,4,9,11.685865475807274,22.273458861575293,20.421662421208264,26.42910790261401,63.90177745791058,3.6920680144818503,1,1,2,2,22.48982642859999,16.008990754029952,3.6921543417897427,10.63814641075258,8.001261410183936,22.273458861575293,1,0,17.385800793432907,45.3251734203945,av-fuzzer
scenario6,0,12.665354910861717,20.87396658418073,16.788452662928442,26.416173598846434,5,5,11.596342912866152,20.70809235282346,26.402140109751755,28.343379417290528,76.37436955029912,3.852800192269455,2,2,1,0,8.27799329513488,26.416173598846434,21.552671064213413,11.712757108085436,9.049533100413456,26.402140109751755,2,1,15.656116407345653,37.36787453052151,av-fuzzer
scenario7,0,9.438097254509376,22.00276967126554,18.181501141509514,29.96130143217342,8,5,11.663169861246663,21.517340652814834,29.219448017832494,43.21893709711484,100.07814713845846,2.6145615244453415,2,2,2,1,19.691882021591745,17.07352401955463,17.036394986398655,14.12453487158425,8.914959733454708,29.219448017832494,2,0,29.96130143217342,59.58015945484175,av-fuzzer
scenario8,1,9.438097254509376,22.00276967126554,18.181501141509514,29.96130143217342,9,5,11.681853812883256,23.31297278566014,29.275298478181767,42.53616211409695,99.79290459400184,2.6068540276118792,2,2,2,1,19.691882021591745,17.07352401955463,17.036394986398655,14.110486292560493,8.997230838513529,29.275298478181767,2,0,29.96130143217342,60.684814887106185,av-fuzzer
scenario9,0,12.665354910861717,20.87396658418073,16.788452662928442,26.416173598846434,5,5,11.691535261239219,20.839179331404857,26.402140109751755,31.797721407021722,84.59973011835265,3.877954056943988,2,2,0,0,14.967451987616109,26.416173598846434,21.552671064213413,14.96766422854362,9.182586136727679,26.402140109751755,2,1,15.656116407345653,38.30541155667685,av-fuzzer
