Row,collision
scenario456,0
scenario457,0
scenario458,0
scenario459,0
scenario460,0
scenario461,0
scenario462,0
scenario463,0
scenario464,0
scenario465,0
scenario466,0
scenario467,0
scenario468,0
scenario469,0
scenario470,0
scenario471,0
scenario472,0
scenario473,0
scenario474,0
scenario475,0
scenario476,0
scenario477,0
scenario478,0
scenario479,0
scenario480,0
scenario481,0
scenario482,0
scenario483,0
scenario484,0
scenario485,0
scenario486,0
scenario487,0
scenario488,1
scenario489,0
scenario490,0
scenario491,1
scenario492,1
scenario493,0
scenario494,0
scenario495,0
scenario496,0
scenario497,0
scenario498,0
scenario499,0
scenario500,0
scenario501,0
scenario502,0
scenario503,0
scenario504,0
scenario505,0
scenario506,0
scenario507,0
scenario508,0
scenario509,0
scenario510,0
scenario511,0
scenario512,0
scenario513,0
scenario514,0
scenario515,0
scenario516,0
scenario517,0
scenario518,0
scenario519,0
scenario520,0
scenario521,0
scenario522,0
scenario523,0
scenario524,0
scenario525,0
scenario526,0
scenario527,0
scenario528,0
scenario529,0
scenario530,0
scenario531,0
scenario532,0
scenario533,0
scenario534,0
scenario535,0
scenario536,0
scenario537,0
scenario538,0
scenario539,0
scenario540,0
scenario541,0
scenario542,0
scenario543,0
scenario544,0
scenario545,0
scenario546,0
scenario547,0
scenario548,0
scenario549,0
scenario550,0
scenario551,0
scenario552,0
scenario553,1
scenario554,0
scenario555,0
scenario556,0
scenario557,1
scenario558,0
scenario559,0
scenario560,0
scenario561,1
scenario562,0
scenario563,0
scenario564,0
scenario565,1
scenario566,0
scenario567,1
scenario568,0
scenario569,0
scenario570,0
scenario571,0
scenario572,0
scenario573,0
scenario574,0
scenario575,0
scenario576,0
scenario577,0
scenario578,0
scenario579,0
scenario580,0
scenario581,0
scenario582,0
scenario583,0
scenario584,0
scenario585,0
scenario586,0
scenario587,0
scenario588,0
scenario589,0
scenario590,0
scenario591,0
scenario592,0
scenario593,0
scenario594,1
scenario595,0
scenario596,1
scenario597,0
scenario598,0
scenario599,0
scenario600,0
scenario601,1
scenario602,1
scenario603,1
scenario604,1
scenario605,0
scenario606,0
scenario607,1
scenario608,0
scenario609,0
scenario610,0
scenario611,0
scenario612,0
scenario613,0
scenario614,1
scenario615,0
scenario616,1
scenario617,1
scenario618,0
scenario619,1
scenario620,1
scenario621,1
scenario622,1
scenario623,0
scenario624,0
scenario625,0
scenario626,0
scenario627,1
scenario628,0
scenario629,0
scenario630,0
scenario631,0
scenario632,0
scenario633,0
scenario634,0
scenario635,0
scenario636,0
scenario637,0
scenario638,0
scenario639,0
scenario640,0
scenario641,0
scenario642,0
scenario643,0
scenario644,0
scenario645,0
scenario646,0
scenario647,0
scenario648,0
scenario649,0
scenario650,0
scenario651,0
scenario652,0
scenario653,0
scenario654,0
scenario655,0
scenario656,0
scenario657,0
scenario658,0
scenario659,0
scenario660,0
scenario661,0
scenario662,0
scenario663,0
scenario664,0
scenario665,0
scenario666,0
scenario667,0
scenario668,0
scenario669,0
scenario670,0
scenario671,0
scenario672,0
scenario673,0
scenario674,0
scenario675,1
scenario676,0
scenario677,0
scenario678,0
scenario679,0
scenario680,0
scenario681,0
scenario682,0
scenario683,0
scenario684,0
scenario685,0
scenario686,0
scenario687,0
scenario688,0
scenario689,0
scenario690,0
scenario691,0
scenario692,0
scenario693,0
scenario694,0
scenario695,0
scenario696,0
scenario697,0
scenario698,0
scenario699,0
scenario700,0
scenario701,0
scenario702,1
scenario703,0
scenario704,0
scenario705,0
scenario706,0
scenario707,0
scenario708,0
scenario709,0
scenario710,0
scenario711,0
scenario712,0
scenario713,0
scenario714,0
scenario715,0
scenario716,0
scenario717,0
scenario718,0
scenario719,0
scenario720,0
scenario721,0
scenario722,0
scenario723,0
scenario724,0
scenario725,0
scenario726,0
scenario727,0
scenario728,0
scenario729,0
scenario730,0
scenario731,1
scenario732,0
scenario733,0
scenario734,0
scenario735,0
scenario736,0
scenario737,0
scenario738,0
scenario739,0
scenario740,0
scenario741,0
scenario742,0
scenario743,0
scenario744,0
scenario745,0
scenario746,0
scenario747,0
scenario748,0
scenario749,0
scenario750,0
scenario751,1
scenario752,0
scenario753,0
scenario754,0
scenario755,0
scenario756,0
scenario757,0
scenario758,0
scenario759,0
scenario760,0
scenario761,0
scenario762,0
scenario763,0
scenario764,0
scenario765,0
scenario766,0
scenario767,0
scenario768,0
scenario769,0
scenario770,0
scenario771,0
scenario772,0
scenario773,0
scenario774,0
scenario775,0
scenario776,0
scenario777,0
scenario778,0
scenario779,0
scenario780,0
scenario781,0
scenario782,0
scenario783,0
scenario784,0
scenario785,0
scenario786,0
scenario787,0
scenario788,0
scenario789,0
scenario790,0
scenario791,0
scenario792,0
scenario793,0
scenario794,0
scenario795,0
scenario796,0
scenario797,0
scenario798,0
scenario799,0
scenario800,0
scenario801,0
scenario802,0
scenario803,0
scenario804,1
scenario805,0
scenario806,0
scenario807,0
scenario808,0
scenario809,0
scenario810,0
scenario811,0
scenario812,0
scenario813,0
scenario814,0
scenario815,0
scenario816,0
scenario817,0
scenario818,0
scenario819,0
scenario820,0
scenario821,0
scenario822,0
scenario823,0
scenario824,0
scenario825,0
scenario826,0
scenario827,0
scenario828,0
scenario829,0
scenario830,0
scenario831,1
scenario832,0
scenario833,0
scenario834,1
scenario835,0
scenario836,0
scenario837,0
scenario838,0
scenario839,0
scenario840,0
scenario841,0
scenario842,0
scenario843,0
scenario844,0
scenario845,0
scenario846,0
scenario847,0
scenario848,0
scenario849,0
scenario850,1
scenario851,0
scenario852,0
scenario853,0
scenario854,0
scenario855,0
scenario856,0
scenario857,0
scenario858,0
scenario859,0
scenario860,0
scenario861,0
scenario862,0
scenario863,0
scenario864,0
scenario865,0
scenario866,0
scenario867,0
scenario868,0
scenario869,0
scenario870,0
scenario871,0
scenario872,0
scenario873,0
scenario874,0
scenario875,0
scenario876,0
scenario877,0
scenario878,0
scenario879,0
scenario880,0
scenario881,0
scenario882,0
scenario883,0
scenario884,0
scenario885,0
scenario886,0
scenario887,0
scenario888,0
scenario889,0
scenario890,0
scenario891,0
scenario892,0
scenario893,0
scenario894,0
scenario895,0
scenario896,0
scenario897,0
scenario898,0
scenario899,0
scenario900,0
scenario901,0
scenario902,0
scenario903,0
scenario904,0
scenario905,0
scenario906,0
scenario907,0
scenario908,0
scenario909,0
scenario910,0
scenario911,0
scenario912,0
scenario913,0
scenario914,0
scenario915,0
scenario916,0
scenario917,0
scenario918,0
scenario919,1
scenario920,0
scenario921,0
scenario922,0
scenario923,0
scenario924,0
scenario925,0
scenario926,0
scenario927,0
scenario928,0
scenario929,0
scenario930,0
scenario931,0
scenario932,0
scenario933,0
scenario934,0
scenario935,0
scenario936,0
scenario937,0
scenario938,0
scenario939,0
scenario940,0
scenario941,0
scenario942,0
scenario943,0
scenario944,0
scenario945,0
scenario946,0
scenario947,0
scenario948,0
scenario949,0
scenario950,0
scenario951,1
scenario952,0
scenario953,0
scenario954,0
scenario955,0
scenario956,0
scenario957,0
scenario958,0
scenario959,0
scenario960,0
scenario961,0
scenario962,0
scenario963,0
scenario964,0
scenario965,0
scenario966,0
scenario967,0
scenario968,0
scenario969,0
scenario970,0
scenario971,0
scenario972,0
scenario973,0
scenario974,0
scenario975,0
scenario976,0
scenario977,0
scenario978,0
scenario979,0
scenario980,0
scenario981,0
scenario982,0
scenario983,0
scenario984,0
scenario985,0
scenario986,0
scenario987,0
scenario988,0
scenario989,0
scenario990,0
scenario991,0
scenario992,0
scenario993,0
scenario994,0
scenario995,0
scenario996,0
scenario997,0
scenario998,0
scenario999,0
scenario1000,0
scenario1001,0
scenario1002,0
scenario1003,0
scenario1004,0
scenario1005,0
scenario1006,0
scenario1007,0
scenario1008,0
scenario1009,0
scenario1010,0
scenario1011,0
scenario1012,0
scenario1013,0
scenario1014,0
scenario1015,0
scenario1016,0
scenario1017,0
scenario1018,0
scenario1019,0
scenario1020,0
scenario1021,0
scenario1022,0
scenario1023,0
scenario1024,0
scenario1025,0
scenario1026,1
scenario1027,0
scenario1028,0
scenario1029,0
scenario1030,0
scenario1031,0
scenario1032,0
scenario1033,0
