Row,IsBetaEasy
scenario455,0
scenario456,0
scenario457,0
scenario458,0
scenario459,0
scenario460,0
scenario461,0
scenario462,0
scenario463,0
scenario464,0
scenario465,0
scenario466,0
scenario467,0
scenario468,0
scenario469,0
scenario470,0
scenario471,0
scenario472,0
scenario473,0
scenario474,0
scenario475,0
scenario476,0
scenario477,0
scenario478,0
scenario479,1
scenario480,0
scenario481,0
scenario482,1
scenario483,1
scenario484,0
scenario485,0
scenario486,0
scenario487,0
scenario488,0
scenario489,0
scenario490,0
scenario491,0
scenario492,0
scenario493,0
scenario494,0
scenario495,0
scenario496,0
scenario497,1
scenario498,1
scenario499,0
scenario500,0
scenario501,0
scenario502,0
scenario503,0
scenario504,0
scenario505,0
scenario506,0
scenario507,0
scenario508,1
scenario509,0
scenario510,0
scenario511,1
scenario512,1
scenario513,0
scenario514,0
scenario515,1
scenario516,0
scenario517,0
scenario518,0
scenario519,0
scenario520,1
scenario521,1
scenario522,0
scenario523,0
scenario524,1
scenario525,0
scenario526,0
scenario527,1
scenario528,0
scenario529,0
scenario530,0
scenario531,0
scenario532,0
scenario533,0
scenario534,0
scenario535,0
scenario536,0
scenario537,0
scenario538,0
scenario539,0
scenario540,0
scenario541,0
scenario542,0
scenario543,0
scenario544,0
scenario545,0
scenario546,0
scenario547,0
scenario548,0
scenario549,0
scenario550,0
scenario551,0
scenario552,0
scenario553,0
scenario554,0
scenario555,0
scenario556,0
scenario557,0
scenario558,0
scenario559,0
scenario560,0
scenario561,0
scenario562,0
scenario563,0
scenario564,0
scenario565,0
scenario566,1
scenario567,1
scenario568,0
scenario569,0
scenario570,0
scenario571,0
scenario572,0
scenario573,0
scenario574,0
scenario575,0
scenario576,0
scenario577,0
scenario578,0
scenario579,0
scenario580,0
scenario581,0
scenario582,0
scenario583,0
scenario584,0
scenario585,0
scenario586,0
scenario587,0
scenario588,0
scenario589,0
scenario590,0
scenario591,0
scenario592,0
scenario593,0
scenario594,1
scenario595,0
scenario596,1
scenario597,0
scenario598,1
scenario599,1
scenario600,0
scenario601,1
scenario602,1
scenario603,1
scenario604,1
scenario605,1
scenario606,0
scenario607,1
scenario608,1
scenario609,0
scenario610,1
scenario611,0
scenario612,0
scenario613,0
scenario614,1
scenario615,0
scenario616,1
scenario617,0
scenario618,1
scenario619,0
scenario620,1
scenario621,1
scenario622,0
scenario623,1
scenario624,0
scenario625,0
scenario626,0
scenario627,1
scenario628,1
scenario629,0
scenario630,0
scenario631,0
scenario632,1
scenario633,1
scenario634,0
scenario635,0
scenario636,1
scenario637,0
scenario638,0
scenario639,0
scenario640,0
scenario641,0
scenario642,1
scenario643,0
scenario644,1
scenario645,0
scenario646,0
scenario647,0
scenario648,0
scenario649,0
scenario650,0
scenario651,0
scenario652,0
scenario653,0
scenario654,0
scenario655,1
scenario656,0
scenario657,0
scenario658,0
scenario659,0
scenario660,0
scenario661,1
scenario662,0
scenario663,0
scenario664,1
scenario665,1
scenario666,0
scenario667,0
scenario668,0
scenario669,1
scenario670,0
scenario671,0
scenario672,0
scenario673,0
scenario674,0
scenario675,1
scenario676,0
scenario677,0
scenario678,1
scenario679,0
scenario680,0
scenario681,1
scenario682,1
scenario683,0
scenario684,0
scenario685,0
scenario686,0
scenario687,1
scenario688,0
scenario689,0
scenario690,1
scenario691,0
scenario692,1
scenario693,0
scenario694,1
scenario695,0
scenario696,0
scenario697,0
scenario698,0
scenario699,0
scenario700,0
scenario701,1
scenario702,1
scenario703,0
scenario704,0
scenario705,0
scenario706,0
scenario707,1
scenario708,0
scenario709,0
scenario710,0
scenario711,0
scenario712,0
scenario713,0
scenario714,0
scenario715,0
scenario716,0
scenario717,0
scenario718,0
scenario719,0
scenario720,0
scenario721,0
scenario722,1
scenario723,0
scenario724,0
scenario725,0
scenario726,0
scenario727,0
scenario728,0
scenario729,1
scenario730,1
scenario731,0
scenario732,0
scenario733,1
scenario734,0
scenario735,0
scenario736,0
scenario737,1
scenario738,0
scenario739,0
scenario740,0
scenario741,0
scenario742,0
scenario743,0
scenario744,0
scenario745,0
scenario746,0
scenario747,0
scenario748,0
scenario749,1
scenario750,0
scenario751,1
