Row,npc1_avg_control_speed,npc1_max_control_speed,npc2_avg_control_speed,npc2_max_control_speed,npc1_number_lane_changes,npc2_number_lane_changes,ego_max_speed,npc1_max_speed,npc2_max_speed,npc_avg_dist,max_npc_dist,min_npc_dist,type_npc_max_dist,type_npc_min_dist,op_npc_max_dist,op_npc_min_dist,ctrl_speed_npc_max_dist,ctrl_speed_npc_min_dist,speed_npc_min_dist,speed_npc_max_dist,avg_speed_npcs,max_npc_speed,type_npc_max_speed,op_npc_max_speed,ctrl_speed_npc_max_speed,dist_av_npc_max_speed
Z_{1},-0.3436,-0.3573,0.3117,0.1985,0.3125,0.0655,-0.03,-0.1658,0.2884,0.1864,0.1102,-0.2745,0.1404,0.832,-0.1003,-0.0761,0.0643,-0.0942,0.0964,-0.007,0.0932,0.1584,-0.5143,0.1709,0.1363,0.194
Z_{2},0.0219,-0.1323,-0.5129,-0.6198,-0.0959,0.1519,-0.1851,-0.1937,-0.6188,-0.4614,-0.5103,-0.0873,-0.4011,-0.9977,0.0094,-0.0784,-0.0084,-0.3711,-0.3795,-0.2576,-0.6196,-0.5651,0.8348,-0.1046,-0.2566,-0.4266
