instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario0,0,20.954626740730337,29.9337654536202,14.995875168219488,27.255077643049233,8,7,11.685829454759158,29.713281156877418,27.214285226828647,20.10294776703773,57.75732430344213,2.7644340677689163,2,1,2,1,15.289939245544625,19.150140780223182,15.965336622022924,27.214285226828647,9.061053239241335,29.713281156877418,1,1,29.9337654536202,11.619575248178712,av-fuzzer
scenario1,0,17.50410480336084,26.940469931891606,10.405074678506683,24.275252765915567,7,7,11.64132366775037,22.587556806114677,24.268797459085896,19.12614230175693,62.309264771555895,3.5866142457786734,1,2,1,2,22.58887806720686,5.7563988833401405,2.039415220285755,7.033663573867088,7.679090415590999,24.268797459085896,2,2,4.204084557140046,18.635101720518442,av-fuzzer
scenario2,0,8.15608939323908,23.950664212680763,10.685010443160998,26.833718573235622,9,4,11.677562137545095,23.940532489305383,18.65904504169704,55.7811619265474,102.00541085436781,7.428838669833607,2,1,0,2,4.157159716791141,19.21275155468278,12.450637715349313,3.9484254346098266,5.689375868762044,23.940532489305383,1,1,23.950664212680763,39.758274910742706,av-fuzzer
scenario3,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.314447883293635,27.96706420184872,27.72182853252404,33.77185590499073,82.53325198524252,2.993467714579874,2,1,1,2,24.81888853131077,19.39714598864069,18.35221172402767,26.68525859821125,9.79643812136199,27.96706420184872,1,2,2.7515185076877327,18.873988729466678,av-fuzzer
scenario4,0,17.50410480336084,26.940469931891606,10.405074678506683,24.275252765915567,7,7,11.671219355308834,22.583839040356423,24.268797459085896,17.239604632381354,54.063365435802176,3.77601929817616,2,2,1,1,19.621893261897338,3.5390661132306436,2.9278679999178645,2.229912276130575,7.5414788501095,24.268797459085896,2,2,4.204084557140046,13.594935759102395,av-fuzzer
scenario5,0,8.15608939323908,23.950664212680763,10.685010443160998,26.833718573235622,9,4,11.682445351154986,23.94474231887446,19.613113888702888,53.77682369723179,103.19529660978284,7.668312926006854,2,1,0,2,4.157159716791141,19.21275155468278,8.881342258385668,4.045555711267531,5.645926470396599,23.94474231887446,1,1,23.950664212680763,38.283159104961044,av-fuzzer
scenario6,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.706113155165998,27.966595540120995,27.687571929190803,35.42487501788765,81.0216661191433,3.3122229478880167,2,1,1,2,24.81888853131077,19.39714598864069,10.37416969723369,15.4085996032566,9.565794143036054,27.966595540120995,1,2,2.7515185076877327,26.627575242625735,av-fuzzer
scenario7,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.634655064985989,27.96654995899865,27.687571929190803,35.972311431665545,81.94804329198264,3.3578966007206734,2,1,1,2,24.81888853131077,19.39714598864069,9.79435247780099,15.4085996032566,9.559825018051875,27.96654995899865,1,2,2.7515185076877327,27.418989579080932,av-fuzzer
scenario8,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.673524555403652,27.966151433213412,27.687571929190803,37.145469189944734,86.94672961986542,3.2958284132200184,2,1,1,2,24.81888853131077,19.39714598864069,13.272953948563991,15.4085996032566,9.554662734324598,27.966151433213412,1,2,2.7515185076877327,25.614883856094682,av-fuzzer
scenario9,1,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.69543312370379,27.9660078423412,27.687571929190803,36.35788978644793,84.13034409196501,2.8283397869372555,2,1,1,1,24.81888853131077,18.550949211645033,3.7627422018963554,15.4085996032566,9.456778168104837,27.9660078423412,1,2,2.7515185076877327,26.85531444777947,av-fuzzer
scenario10,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.702032412896079,27.96656816023662,27.750916526359834,40.6288288475584,124.16009820629803,3.265932104943983,2,1,1,2,7.2831476201225,19.39714598864069,11.704978201847176,7.269780224746846,10.35153974233052,27.96656816023662,1,2,2.7515185076877327,25.76910955064507,av-fuzzer
scenario11,0,13.994132153549065,27.968440548007994,20.28824015479808,27.77106311221351,7,7,11.689849543745877,27.9656549643348,27.687571929190803,35.64374586103077,78.20974601703196,3.3891984664059467,2,1,1,2,24.81888853131077,19.39714598864069,8.535301378574443,15.4085996032566,9.560028646366622,27.9656549643348,1,2,2.7515185076877327,29.91334474019996,av-fuzzer
