timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-18_01-57-49,0,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-50,100,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-51,201,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-52,301,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-53,401,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-54,501,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-55,601,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-56,701,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-57,802,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-58,902,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-57-59,1002,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-58-00,1102,71.49859789966403,0.0,0.0,0.0,0.8216423796254236
2023-01-18_01-58-01,1202,91.07466241226999,0.0,0.13996594358450976,0.0,1.7034272702593458
2023-01-18_01-58-02,1302,80.39763460212664,0.0,0.05256565580659499,0.0,1.4658766619411994
2023-01-18_01-58-03,1402,15.7,0.0,-0.0539207570118036,0.0,1.1312924610008963
2023-01-18_01-58-04,1502,33.49772117908474,0.0,-0.11068653446540634,0.0,1.571494609166674
2023-01-18_01-58-05,1602,15.7,0.0,-0.390564479188842,0.0,0.6603208290432985
2023-01-18_01-58-06,1703,20.038533831419734,0.0,-0.18991089194600666,0.0,0.505543065574195
2023-01-18_01-58-07,1803,15.7,0.0,0.028934895592411768,0.0,0.7948394009479873
2023-01-18_01-58-08,1903,26.872787257336856,0.0,0.10001859534622642,0.0,1.0580173018121024
2023-01-18_01-58-09,2003,35.89942576025757,0.0,0.037203375386839516,0.0,1.826344872984727
2023-01-18_01-58-10,2103,28.807013319490885,0.0,0.04325196740384132,0.0,1.169635418762482
2023-01-18_01-58-11,2203,29.643436885674234,0.0,0.012175249667957867,0.0,1.2355737614511115
2023-01-18_01-58-12,2303,15.7,0.0,0.007070231513716483,0.0,0.7939737179011868
2023-01-18_01-58-13,2404,15.7,0.0,0.002165317462692499,0.0,0.7908762433339515
2023-01-18_01-58-14,2504,15.7,0.0,0.0012405583505660947,0.0,0.643738385954429
2023-01-18_01-58-15,2604,15.7,0.0,-0.0029560576890317897,0.0,0.5919958401895381
2023-01-18_01-58-16,2704,15.7,0.0,-0.005432459153846559,0.0,0.5127523876820145
2023-01-18_01-58-17,2804,17.573387196656657,0.0,-0.004281779815740704,0.0,0.4252943486505574
2023-01-18_01-58-18,2905,15.7,0.0,-0.004799476343498324,0.0,0.284635868734703
2023-01-18_01-58-19,3005,15.7,0.0,-0.0026191804350703066,0.0,0.13985657318154243
2023-01-18_01-58-20,3105,15.7,0.0,-0.005112041042182188,0.0,0.08440232526375596
2023-01-18_01-58-21,3205,15.7,0.0,-0.0014863407343857836,0.0,0.1839275000453044
2023-01-18_01-58-22,3305,15.7,0.0,-0.006123225929493918,0.0,0.19734177828627186
2023-01-18_01-58-23,3405,0.0,14.5,-0.002863973545756922,0.0,-0.0296294916361326
2023-01-18_01-58-24,3506,0.0,18.08815074462929,-0.0036395536759558813,0.0,-0.09525187288454973
2023-01-18_01-58-25,3606,15.7,0.0,-0.003341253629933881,0.0,0.22058981213838297
2023-01-18_01-58-26,3706,0.0,14.5,-0.003111943343584574,0.0,-0.019016467432955098
2023-01-18_01-58-27,3805,15.7,0.0,-0.00010273300134156674,0.0,0.10519947170253235
2023-01-18_01-58-28,3906,15.7,0.0,0.0005189111163045863,0.0,0.14865491398906328
2023-01-18_01-58-29,4006,0.0,14.5,-0.0008740486527965355,0.0,-0.009503768901842041
2023-01-18_01-58-30,4107,15.7,0.0,-0.0008615994030546764,0.0,0.2637349335895554
2023-01-18_01-58-31,4207,0.0,18.63557063669516,-0.001742183344404045,0.0,-0.10983280986848798
2023-01-18_01-58-32,4307,0.0,17.74684178712745,-0.0074482163054586485,0.0,-0.08580757205411899
2023-01-18_01-58-33,4407,0.0,19.550058102825503,-0.012734093011597844,0.0,-0.13365328066846083
