timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-17_21-01-03,0,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-04,100,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-05,200,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-06,300,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-07,400,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-08,500,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-09,600,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-10,700,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-11,800,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-12,901,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-13,1001,0.0,50.0,0.0,0.0,0.0
2023-01-17_21-01-14,1101,0.0,14.5,0.0,0.0,-0.0006676348421497612
2023-01-17_21-01-15,1201,90.03644877027958,0.0,0.15590554045137356,0.0,1.7097558025459025
2023-01-17_21-01-16,1301,50.12774115906555,0.0,0.07644510345963526,0.0,1.7164553531405113
2023-01-17_21-01-17,1402,43.225161506002095,0.0,-0.020900012018798035,0.0,1.9459050187712057
2023-01-17_21-01-18,1502,15.7,0.0,-0.11428354543381863,0.0,0.20678582318826977
2023-01-17_21-01-19,1602,81.92141284486539,0.0,-0.14382173349351549,0.0,2.2822862342843053
2023-01-17_21-01-20,1702,0.0,42.55736921503825,-0.21595971947422332,0.0,-3.5205890593203932
2023-01-17_21-01-21,1802,58.74564877044415,0.0,-0.17508048243059512,0.0,2.260005164948687
2023-01-17_21-01-22,1902,20.759962245263033,0.0,0.07915556091187399,0.0,1.5584229356021546
2023-01-17_21-01-23,2002,35.836933571009354,0.0,0.0824012201396625,0.0,1.7962566602662826
2023-01-17_21-01-24,2102,15.7,0.0,0.023148604643049197,0.0,2.2583363301595956
2023-01-17_21-01-25,2202,15.7,0.0,0.019502687132660696,0.0,1.4883575893284338
2023-01-17_21-01-26,2303,33.8843303651968,0.0,0.002818245124053252,0.0,1.6332559490801557
2023-01-17_21-01-27,2403,16.30563041945509,0.0,-0.0006649236170622522,0.0,0.9313076877716586
2023-01-17_21-01-28,2503,15.7,0.0,-0.00032333060900000985,0.0,0.9047920146368857
2023-01-17_21-01-29,2603,15.7,0.0,-0.0017495291840263411,0.0,0.8106569910843917
2023-01-17_21-01-30,2703,15.7,0.0,-0.004518546525551142,0.0,0.8176284973499542
