timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-17_16-59-37,0,0.0,14.5,0.0,0.0,-8.038693091293681e-06
2023-01-17_16-59-38,100,0.0,14.5,0.0,0.0,-1.237689863548482e-05
2023-01-17_16-59-39,200,0.0,14.5,0.0,0.0,-1.6995050898681207e-05
2023-01-17_16-59-40,300,0.0,14.5,0.0,0.0,-2.161320316187759e-05
2023-01-17_16-59-41,400,0.0,14.5,0.0,0.0,-2.6231355425073975e-05
2023-01-17_16-59-42,500,0.0,14.5,0.0,0.0,-3.084950768827036e-05
2023-01-17_16-59-43,601,0.0,14.5,0.0,0.0,-3.5513841474098704e-05
2023-01-17_16-59-44,701,0.0,14.5,0.0,0.0,-4.013199373729523e-05
2023-01-17_16-59-45,801,0.0,14.5,0.0,0.0,-4.475014600049195e-05
2023-01-17_16-59-46,901,0.0,14.5,0.0,0.0,-4.9368298263688676e-05
2023-01-17_16-59-47,1001,0.0,14.5,0.0,0.0,-5.39864505268854e-05
2023-01-17_16-59-48,1101,64.45048808644154,0.0,0.17564825311259696,0.0,1.1675389165017807
2023-01-17_16-59-49,1201,51.74632894306935,0.0,0.11242479674809619,0.0,1.4188318987502098
2023-01-17_16-59-50,1302,61.6412274076334,0.0,0.01740204645494038,0.0,1.7399866388269905
2023-01-17_16-59-51,1402,62.65232864429683,0.0,-0.10909179705635882,0.0,1.7694747004093578
2023-01-17_16-59-52,1502,73.44333643391981,0.0,-0.027788123179045176,0.0,1.8315336407667244
2023-01-17_16-59-53,1602,43.82109391116726,0.0,-0.18596252525503643,0.0,1.10487767670833
2023-01-17_16-59-54,1702,46.82108140032845,0.0,-0.13529807893886808,0.0,2.752843256013138
2023-01-17_16-59-55,1802,0.0,26.565627115113365,-0.10023432552240866,0.0,-1.7280091715008197
2023-01-17_16-59-56,1902,0.0,21.176483285962345,0.14692266292469158,0.0,-1.1351758346884135
2023-01-17_16-59-57,2003,0.0,14.5,0.10373383356163002,0.0,-0.2486684003016667
2023-01-17_16-59-58,2103,31.73950891665408,0.0,18.587542903808096,0.0,1.4141870706443604
2023-01-17_16-59-59,2203,69.01851050467828,0.0,-2.191878560908628,0.0,2.5248151906859198
2023-01-17_17-00-00,2303,38.86645783968475,0.0,1.3577959058484577,0.0,1.957076997976165
2023-01-17_17-00-01,2403,15.955449582522954,0.0,0.4468487976703493,0.0,2.161323607293888
2023-01-17_17-00-02,2503,42.01623363609599,0.0,0.23080828080397695,0.0,2.411736081807187
2023-01-17_17-00-03,2603,28.67644694011372,0.0,0.1438805306390347,0.0,1.1598586989700395
2023-01-17_17-00-04,2704,27.75641245430549,0.0,0.09501353187530488,0.0,1.0903683062546903
2023-01-17_17-00-05,2804,15.7,0.0,0.06610891539540775,0.0,0.7201063369325629
