timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-17_12-16-12,0,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-13,100,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-14,200,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-15,300,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-16,400,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-17,500,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-18,600,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-19,700,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-20,801,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-21,901,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-22,1001,0.0,50.0,0.0,0.0,0.0
2023-01-17_12-16-23,1101,70.61071178701607,0.0,0.0,0.0,0.8655784240124115
2023-01-17_12-16-24,1201,92.11352650737666,0.0,0.1503489192003602,0.0,1.857071874669626
2023-01-17_12-16-25,1300,40.43683370029322,0.0,0.05999217875134346,0.0,1.855517699998372
2023-01-17_12-16-26,1401,63.111596196178375,0.0,-0.040916395760658315,0.0,1.9281000736539424
2023-01-17_12-16-27,1502,66.36325354940035,0.0,-0.1058298362005636,0.0,1.547117244464768
2023-01-17_12-16-28,1602,24.606721235329264,0.0,-0.12962433132465218,0.0,1.54377132814422
2023-01-17_12-16-29,1702,15.7,0.0,0.06792929578924059,0.0,0.755366054799259
2023-01-17_12-16-30,1802,26.74906738500813,0.0,0.08055544238254328,0.0,1.0775753745191503
2023-01-17_12-16-31,1902,15.7,0.0,-0.03870617155005149,0.0,2.2682304044440054
2023-01-17_12-16-32,2002,38.498268918328115,0.0,0.02308877230892813,0.0,2.07025080785868
2023-01-17_12-16-33,2102,15.7,0.0,-0.009884231434060201,0.0,2.048814743293266
2023-01-17_12-16-34,2202,30.521820160626547,0.0,0.01579055377897066,0.0,1.3114402088124324
2023-01-17_12-16-35,2302,29.45069902568998,0.0,-0.008761417876705653,0.0,1.2216679263869235
2023-01-17_12-16-36,2403,15.7,0.0,0.006201252367345086,0.0,0.5753936850789322
2023-01-17_12-16-37,2503,15.7,0.0,0.00043767764022530347,0.0,0.2575009153357203
2023-01-17_12-16-38,2603,15.7,0.0,-0.0033658521737406828,0.0,0.3623042915242495
2023-01-17_12-16-39,2703,15.7,0.0,-0.003392424925248106,0.0,0.24552208103592005
2023-01-17_12-16-40,2803,15.7,0.0,-0.0020693333511409796,0.0,0.21481824051066795
2023-01-17_12-16-41,2903,15.7,0.0,-0.0036538963027874143,0.0,0.06279635624057497
2023-01-17_12-16-42,3003,15.7,0.0,-0.0003092585840596947,0.0,0.11863021510505933
2023-01-17_12-16-44,3104,15.7,0.0,-0.003104009900031223,0.0,0.06894906909574075
2023-01-17_12-16-45,3204,15.7,0.0,-0.0010770155647931315,0.0,0.11526139004095737
2023-01-17_12-16-46,3304,15.7,0.0,-8.465870009899126e-05,0.0,0.17464920016371926
2023-01-17_12-16-47,3404,15.7,0.0,-0.0033715666381101024,0.0,0.08678209239145301
2023-01-17_12-16-48,3504,15.7,0.0,-0.00023145847317766744,0.0,0.0800429002269088
2023-01-17_12-16-49,3604,15.7,0.0,-0.00029423980995084783,0.0,0.16416344537566746
2023-01-17_12-16-50,3704,15.7,0.0,-0.0036733046172526635,0.0,0.1209543518417287
2023-01-17_12-16-51,3805,15.7,0.0,0.0016346093727391414,0.0,0.24727956778656074
2023-01-17_12-16-52,3905,15.7,0.0,-0.002919459213722985,0.0,0.010349608418005918
2023-01-17_12-16-53,4005,0.0,18.457961173750693,-0.0005077280752469408,0.0,-0.10533060632879826
2023-01-17_12-16-54,4105,15.7,0.0,0.00018045383817194606,0.0,0.1380718549429389
2023-01-17_12-16-55,4205,0.0,14.5,-0.00046866481399271165,0.0,-0.03777312273563177
2023-01-17_12-16-56,4306,15.7,0.0,-3.8614619306621536e-05,0.0,0.32901077514596605
2023-01-17_12-16-57,4406,15.7,0.0,-0.003414616011452669,0.0,0.30321253246451857
2023-01-17_12-16-58,4506,0.0,19.868844931469933,-0.009701056488058565,0.0,-0.15211870951637452
2023-01-17_12-16-59,4606,0.0,21.333059584967717,-0.010226441602846751,0.0,-0.3892574158302986
2023-01-17_12-17-00,4706,0.0,28.782023502469546,-0.0040939210704754965,0.0,-1.6217717240403904
2023-01-17_12-17-01,4806,0.0,25.137714293726958,0.0027014151810887243,0.0,-1.5330002493340908
2023-01-17_12-17-02,4906,0.0,15.064930195241713,0.0017410332576872451,0.0,-0.7487295171650592
2023-01-17_12-17-03,5006,0.0,26.82593147852154,0.0170737389588125,0.0,-1.2168498499073968
2023-01-17_12-17-04,5107,0.0,21.92463051679641,0.03468535923407437,0.0,-1.2201135711050959
2023-01-17_12-17-05,5207,0.0,29.285146138291207,0.050301069625899086,0.0,-1.9667359185025586
2023-01-17_12-17-06,5307,0.0,24.202739073308532,0.06673689031637006,0.0,-1.3783287215302402
