timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-17_08-36-23,0,0.0,14.5,0.0,0.0,-1.3855072880687657e-05
2023-01-17_08-36-24,100,95.08003852549503,0.0,0.0,0.0,2.4378907384375177
2023-01-17_08-36-25,200,99.99992041585325,0.0,0.0,0.0,3.3
2023-01-17_08-36-26,300,99.9998667856459,0.0,0.0,0.0,3.2595671679312526
2023-01-17_08-36-27,400,96.4927169060641,0.0,0.0,0.0,2.576336157882774
2023-01-17_08-36-28,500,92.23059312344661,0.0,0.0,0.0,2.1586737901703077
2023-01-17_08-36-29,600,92.21293315854265,0.0,0.0,0.0,2.1569440535667557
2023-01-17_08-36-30,701,92.08340098446824,0.0,0.0,0.0,2.144256794897068
2023-01-17_08-36-31,801,91.96994722333928,0.0,0.0,0.0,2.133144364917582
2023-01-17_08-36-32,901,91.96994722333928,0.0,0.0,0.0,2.133144364917582
2023-01-17_08-36-33,1001,91.96994722333928,0.0,0.0,0.0,2.133144364917582
2023-01-17_08-36-34,1101,80.78346644699445,0.0,0.1647515864790108,0.0,2.133144364917582
2023-01-17_08-36-35,1201,90.09740555988242,0.0,0.11598741892931068,0.0,1.5779233720396915
2023-01-17_08-36-36,1301,51.35637100830999,0.0,0.03894219376492769,0.0,1.9678855245789448
2023-01-17_08-36-37,1401,16.1836209006518,0.0,0.0262050935452831,0.0,0.3785707519869531
2023-01-17_08-36-38,1502,55.919223246662334,0.0,-0.10262741024704539,0.0,2.4436660629396716
2023-01-17_08-36-39,1602,15.7,0.0,-0.16577173256302696,0.0,2.34308533433181
2023-01-17_08-36-40,1702,25.17453603870166,0.0,-0.08702615658602111,0.0,0.9157082434831494
2023-01-17_08-36-41,1802,15.7,0.0,0.04369199131079667,0.0,0.7830449251480933
2023-01-17_08-36-42,1902,43.79903701744885,0.0,0.08256490396830256,0.0,2.575760260109349
2023-01-17_08-36-43,2002,0.0,40.33982041888702,0.015100931125123819,0.0,-3.3380598869153464
2023-01-17_08-36-44,2103,0.0,32.43588485804963,0.028460015660447712,0.0,-2.0784249356456566
2023-01-17_08-36-45,2203,0.0,41.63028057452843,0.02426144693413387,0.0,-3.3901365395819476
2023-01-17_08-36-46,2303,0.0,36.80870011146489,0.03208197552515519,0.0,-2.738748414713365
2023-01-17_08-36-47,2403,48.33297288492795,0.0,0.026190924283403763,0.0,2.4998670027140735
2023-01-17_08-36-48,2503,26.295226717106463,0.0,0.0069272258057079495,0.0,0.9969650262963572
2023-01-17_08-36-49,2603,18.192271343341595,0.0,0.005657081554537923,0.0,1.332930600373723
2023-01-17_08-36-50,2703,33.49234992724008,0.0,0.003337105831430296,0.0,1.7390530331943177
2023-01-17_08-36-51,2804,15.7,0.0,-0.00019106997252074952,0.0,1.5112322202201756
2023-01-17_08-36-52,2904,28.996379669796553,0.0,-0.005364850488073731,0.0,1.2968253978984883
2023-01-17_08-36-53,3004,27.833469311664427,0.0,-0.005699176633414287,0.0,1.0938993138942728
2023-01-17_08-36-54,3104,29.16910525515076,0.0,-0.012162945099511052,0.0,1.1982588375945347
2023-01-17_08-36-55,3204,27.477477503628,0.0,-0.005630045564278062,0.0,1.0694119916059595
2023-01-17_08-36-56,3304,15.7,0.0,-0.0025881000804864143,0.0,0.7288735386601448
2023-01-17_08-36-57,3404,15.7,0.0,-0.004651173329581685,0.0,0.6833997791865236
2023-01-17_08-36-58,3505,15.7,0.0,-0.003864560240343397,0.0,0.5904525900063466
2023-01-17_08-36-59,3605,15.7,0.0,-0.0033533930551968415,0.0,0.3147885640254841
2023-01-17_08-37-00,3705,15.7,0.0,-0.00214605462127484,0.0,0.18481557585941172
2023-01-17_08-37-01,3805,15.7,0.0,-0.004051830431545685,0.0,0.2843824817499526
2023-01-17_08-37-02,3905,15.7,0.0,-0.002898601219249978,0.0,0.289126080816263
2023-01-17_08-37-03,4005,15.7,0.0,-0.0009348802947527484,0.0,0.22890659479134473
2023-01-17_08-37-04,4106,15.7,0.0,-0.0009663474600349185,0.0,0.1998473020858464
2023-01-17_08-37-05,4206,15.7,0.0,0.0013772662633591353,0.0,0.1676298194102493
2023-01-17_08-37-06,4306,15.7,0.0,-5.855264459502614e-05,0.0,0.06816029837303511
2023-01-17_08-37-07,4406,15.7,0.0,0.0010277977030973499,0.0,0.15890609824280705
2023-01-17_08-37-08,4506,15.7,0.0,0.002994702867487453,0.0,0.13186394497798037
2023-01-17_08-37-09,4606,0.0,19.014277781928218,-0.0069650263935365515,0.0,-0.11992865644386014
2023-01-17_08-37-10,4706,15.7,0.0,-0.004697354276748354,0.0,0.03223220419296702
2023-01-17_08-37-11,4806,0.0,23.35424403065176,-0.004270844239142823,0.0,-0.726984378551538
2023-01-17_08-37-12,4907,0.0,26.03111232543291,-0.005440629177668808,0.0,-1.156638381994389
2023-01-17_08-37-13,5007,0.0,20.245908987477232,-0.008888350316481235,0.0,-0.6804867155905598
