timestamp,sequence_number,throttle,brake,steering,speed,acceleration
2023-01-18_01-52-04,0,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-05,100,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-06,200,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-07,300,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-08,400,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-09,500,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-10,600,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-11,700,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-12,801,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-13,901,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-14,1001,0.0,50.0,0.0,0.0,0.0
2023-01-18_01-52-15,1101,69.55147351724602,0.0,0.17154692899748294,0.0,1.4802780872065997
2023-01-18_01-52-16,1201,73.30934051275155,0.0,0.10895969572681692,0.0,1.71892063730066
2023-01-18_01-52-17,1301,44.62519066439977,0.0,0.014449803489902175,0.0,1.9367998868107166
2023-01-18_01-52-18,1401,75.27726947828238,0.0,-0.07143949367455481,0.0,1.8873000151112158
2023-01-18_01-52-19,1502,30.812787694547183,0.0,-0.15692182376882013,0.0,1.4196519898253226
2023-01-18_01-52-20,1602,35.1012618977061,0.0,-0.40000923643844316,0.0,1.7454681424761294
2023-01-18_01-52-21,1702,20.85555691306283,0.0,0.029459502814064575,0.0,2.5134180226161265
2023-01-18_01-52-22,1802,38.40867578818208,0.0,0.20339468348016365,0.0,2.104119850610971
2023-01-18_01-52-23,1902,29.312465303325332,0.0,0.02342517867414484,0.0,1.2074111279839372
2023-01-18_01-52-24,2002,26.977628978424622,0.0,0.03593476564391129,0.0,1.030799105652351
2023-01-18_01-52-25,2102,15.7,0.0,0.04537554790911245,0.0,0.5223466555606002
2023-01-18_01-52-26,2203,15.7,0.0,0.005074624423195312,0.0,0.8335080913068118
2023-01-18_01-52-27,2303,15.7,0.0,0.00544189806236766,0.0,0.5092779760585987
2023-01-18_01-52-28,2403,15.7,0.0,-0.0025165313135633496,0.0,0.5998346104053346
2023-01-18_01-52-29,2503,15.7,0.0,-0.002836083490541258,0.0,0.5326650394753282
2023-01-18_01-52-30,2603,15.7,0.0,-0.005606368498597344,0.0,0.4340506107087717
2023-01-18_01-52-31,2703,15.7,0.0,-0.004796782883380856,0.0,0.20929991121386116
2023-01-18_01-52-32,2803,15.7,0.0,-0.005255856760225944,0.0,0.25340961476776813
2023-01-18_01-52-33,2904,15.7,0.0,-0.005946733644215184,0.0,0.2564601148451855
2023-01-18_01-52-34,3004,15.7,0.0,-0.005481286728931906,0.0,0.15830925806185375
2023-01-18_01-52-35,3104,15.7,0.0,-0.0038468764445468294,0.0,0.1193820005887421
2023-01-18_01-52-36,3204,0.0,17.248933353056934,-0.0017044808530347125,0.0,-0.07241839238119813
2023-01-18_01-52-37,3304,15.7,0.0,-0.005763493664320239,0.0,0.23413781781896648
2023-01-18_01-52-38,3404,0.0,16.893373529158435,-0.004004872117289936,0.0,-0.06304217511845683
2023-01-18_01-52-39,3505,15.7,0.0,-0.003625348474472422,0.0,0.04085423816234782
2023-01-18_01-52-40,3605,15.7,0.0,0.0010233826720411861,0.0,0.03374719362644257
2023-01-18_01-52-41,3705,15.7,0.0,-0.0012912095742857073,0.0,0.13202014335583767
2023-01-18_01-52-42,3805,15.7,0.0,-0.0004836247242002417,0.0,0.001540278015274843
2023-01-18_01-52-43,3905,0.0,14.5,-0.000510523559490835,0.0,-0.04785138024748237
2023-01-18_01-52-44,4005,15.7,0.0,-0.00040058212314081533,0.0,0.1043495979179988
2023-01-18_01-52-45,4106,15.7,0.0,-0.003741796706560312,0.0,0.1239330623824702
2023-01-18_01-52-46,4206,0.0,14.5,-0.004197680271121199,0.0,-0.0016521760903114302
2023-01-18_01-52-47,4306,0.0,20.658371602583497,-0.0025638312759722085,0.0,-0.28583235108339483
2023-01-18_01-52-48,4406,0.0,17.94924800337792,-0.017295066204330772,0.0,-0.08810687627508418
2023-01-18_01-52-49,4506,0.0,24.80878884552219,-0.007870797340642189,0.0,-0.94975751880814
2023-01-18_01-52-50,4606,0.0,18.3717228814182,-0.003108091157927251,0.0,-0.7735038929949949
2023-01-18_01-52-51,4707,0.0,18.964114333262962,0.007410532498752971,0.0,-1.0670732965948986
2023-01-18_01-52-52,4806,0.0,14.5,0.027199831119153514,0.0,-0.40771742313704223
2023-01-18_01-52-53,4907,0.0,20.605565751749438,0.040433332878665774,0.0,-1.0760461618654573
2023-01-18_01-52-54,5007,0.0,14.5,0.05797912648388902,0.0,-0.2061167383713809
2023-01-18_01-52-55,5108,0.0,16.752099370264258,0.06896662769853995,0.0,-0.7487750312354523
2023-01-18_01-52-56,5208,0.0,30.46016536944461,0.08213599782594946,0.0,-1.9007418287666886
2023-01-18_01-52-57,5307,0.0,24.62339244445097,0.09240226737267926,0.0,-1.3668585351116853
2023-01-18_01-52-58,5408,0.0,17.519816176617976,0.1012221697916471,0.0,-0.7633299072606864
2023-01-18_01-52-59,5508,0.0,28.229414726804418,0.10237440525677849,0.0,-1.7305521569574362
2023-01-18_01-53-00,5608,0.0,23.404942536121734,0.10959299657194857,0.0,-1.1956548886785938
2023-01-18_01-53-01,5708,0.0,20.057749180170223,0.10733586422044275,0.0,-0.9150905445761964
2023-01-18_01-53-02,5808,0.0,41.68035319343556,0.11057962176436922,0.0,-3.0
2023-01-18_01-53-03,5908,0.0,69.92910065654239,0.11061837994670752,0.0,-3.0
2023-01-18_01-53-04,6009,0.0,69.99333010344951,0.11061837994670752,0.0,-3.0
2023-01-18_01-53-05,6109,0.0,47.55935781094508,0.11061837994670752,0.0,-0.03680185960723929
2023-01-18_01-53-06,6209,0.0,64.36992002841639,0.1200170585420724,0.0,-0.2528142357320975
2023-01-18_01-53-07,6309,0.0,47.656049828019185,0.1200170585420724,0.0,-0.039869691888677186
2023-01-18_01-53-08,6409,0.0,14.5,0.1200170585420724,0.0,-0.0004616980603416726
2023-01-18_01-53-09,6509,15.7,0.0,0.1200170585420724,0.0,0.02369757908421502
2023-01-18_01-53-10,6610,26.312439157928427,0.0,0.1238074857435673,0.0,0.023152433162296163
2023-01-18_01-53-11,6710,15.7,0.0,0.1238074857435673,0.0,0.040338772554631835
2023-01-18_01-53-12,6810,15.7,0.0,0.1238074857435673,0.0,0.057927244756916726
2023-01-18_01-53-13,6910,15.7,0.0,0.1238074857435673,0.0,0.07551571695920133
2023-01-18_01-53-14,7010,15.7,0.0,0.1238074857435673,0.0,0.09310418916148588
2023-01-18_01-53-15,7110,15.7,0.0,0.1238074857435673,0.0,0.11069266136377043
2023-01-18_01-53-16,7210,15.7,0.0,0.1238074857435673,0.0,0.12828113356605497
2023-01-18_01-53-17,7310,15.7,0.0,0.1238074857435673,0.0,0.14586960576833952
2023-01-18_01-53-18,7411,15.7,0.0,0.1238074857435673,0.0,0.1636339626926469
2023-01-18_01-53-19,7511,15.7,0.0,0.1238074857435673,0.0,0.18122243489493145
