Row,npc1_avg_control_speed,npc1_max_control_speed,npc2_avg_control_speed,npc2_max_control_speed,npc1_number_lane_changes,npc2_number_lane_changes,ego_max_speed,npc1_max_speed,npc2_max_speed,npc_avg_dist,max_npc_dist,min_npc_dist,type_npc_max_dist,type_npc_min_dist,op_npc_max_dist,op_npc_min_dist,ctrl_speed_npc_max_dist,ctrl_speed_npc_min_dist,speed_npc_min_dist,speed_npc_max_dist,avg_speed_npcs,max_npc_speed,type_npc_max_speed,op_npc_max_speed,ctrl_speed_npc_max_speed,dist_av_npc_max_speed
Z_{1},0.2366,0.3094,0.612,0.6152,-0.0591,-0.2026,0.1739,0.6729,0.5789,0.1607,0.2302,-0.1815,0.5434,-0.4523,-0.0614,0.2501,0.1057,0.4372,0.3071,0.5869,0.758,0.8048,-0.1458,0.3084,0.1344,0.0584
Z_{2},0.548,0.5167,-0.1945,-0.2367,-0.3986,-0.0304,-0.1169,0.5076,-0.3137,-0.4993,-0.3553,-0.121,-0.0087,-0.3579,0.1249,0.1593,0.0679,-0.0031,-0.2057,0.1769,-0.0009,0.1025,-0.5612,-0.0624,-0.0912,-0.4797
