Row,z_1,z_2
scenario0,1.53315069998235,3.08500984570857
scenario1,-8.67369103608424,4.75108412015294
scenario2,0.787605117360512,-0.829102820410268
scenario3,-0.531596400796026,0.875429676055279
scenario4,-8.16351259091896,1.76472299799005
scenario5,5.82937459051126,1.58080670638859
scenario6,3.79796918328368,0.303950909221559
scenario7,-5.73938202806183,0.175699278229012
scenario8,-3.0507163863722,-0.207588866163744
scenario9,3.40829998192184,2.12072164273097
scenario10,-4.81994805624544,2.81780086600114
scenario11,0.586893586146992,4.17056515150043
scenario12,3.91772442714721,-2.85274895396813
scenario13,-1.78152360380236,-2.1830369238197
scenario14,-3.54329113000887,3.60521709196617
scenario15,-1.22733064991657,1.95828584623378
scenario16,-5.04268723546868,-2.55623402090673
scenario17,-1.19277132043265,-1.83571307085928
scenario18,2.45759635224829,-2.15468128331552
scenario19,0.408155858864281,-1.85030976678405
scenario20,2.71312079873399,2.87312863439893
scenario21,-5.06293537072474,5.18301497081072
scenario22,-1.04863053180556,1.42693081746399
scenario23,2.87484434055185,3.8682570916657
scenario24,1.18492220008796,2.09018713672712
scenario25,2.12367058962932,-0.328200818900419
scenario26,1.35575938940593,-1.65671811259403
scenario27,3.51105133624775,-5.31261730590246
scenario28,-11.1929276179162,2.06027703807638
scenario29,-9.01679911627647,-4.50564388587429
scenario30,-2.31742154046682,4.75355172924018
scenario31,-7.23729846192233,0.994855167434596
scenario32,-8.19570967674851,-3.63741354550149
scenario33,-0.904748754561725,-0.572856344548614
scenario34,-5.97303666244525,4.22381936566974
scenario35,-5.00194482995354,-2.62181741118777
scenario36,1.81961472841968,2.77477310371135
scenario37,-0.431180557962086,-0.552706536517465
scenario38,3.3355639762887,-3.83000654659259
scenario39,2.74981513917217,0.0910615858577126
scenario40,-4.0890987546516,2.51802906178636
scenario41,0.543392768954997,0.684594766874519
scenario42,5.13812719311737,-1.44346214055546
scenario43,3.41838382514014,-3.17080202383867
scenario44,-3.72279638400152,0.225139243519258
scenario45,-10.5271160364688,2.77738223410187
scenario46,-1.25221773524285,2.03508463511471
scenario47,3.89321948371396,3.5670828831001
scenario48,-3.3921008856433,-1.8176348664832
scenario49,-4.96983292901806,4.60301374538016
scenario50,-2.4081587623499,0.81035185624912
scenario51,5.13987431259271,-1.78548371459615
scenario52,-1.64985762628,-2.01416353628632
scenario53,0.476070921742035,-2.08943793240812
scenario54,10.3315161230605,-3.0914126424328
scenario55,2.08133433359359,-2.09949496122965
scenario56,2.32018495117894,-4.7929615598154
scenario57,-1.93229027025295,-1.0802691889273
scenario58,-5.86949508998575,2.04487648843474
scenario59,4.90808873723499,1.83711385409654
scenario60,4.39648361881187,4.2596749500259
scenario61,-0.446364573835829,-1.10439449522586
scenario62,1.87755367991146,-3.21440689189697
scenario63,4.70411098067624,-0.337569326993659
scenario64,-5.44995924258365,-0.422573438379177
scenario65,0.523995122529535,-0.341666765599694
scenario66,-0.9995122661517,1.73157853435465
scenario67,3.430431444181,1.06586147642106
scenario68,3.14412642820437,0.125313560558002
scenario69,-3.06309198269978,3.63169662533291
scenario70,1.7087407178738,0.876982652600614
scenario71,0.510350757670948,0.61251723921976
scenario72,-1.11890746397177,2.08386554806615
scenario73,1.3014722057531,-1.72029690745444
scenario74,2.24355967389683,2.29734822784076
scenario75,-5.50366314133026,-2.10613900444072
scenario76,-0.301325885963228,2.46414143454157
scenario77,-5.01740616772836,-5.20066502073585
scenario78,-2.93156744032231,0.325576097815544
scenario79,2.30491028271411,-0.336160725099834
scenario80,-3.19095122886469,3.65603312886353
scenario81,-2.81606362918439,-1.62631189923349
scenario82,3.249070371376,-0.429956489713735
scenario83,-1.349739668649,-3.0876686274962
scenario84,-5.87663134250012,3.29342864884209
scenario85,-2.22175212983239,-1.31905699666142
scenario86,-2.7127096253012,2.05706246135889
scenario87,-6.98383187345993,4.68467086984318
scenario88,-3.32865414676435,3.09418065217721
scenario89,5.28655609924814,-1.03432725924374
scenario90,0.330277126981645,0.128832720241618
scenario91,-6.58416378366498,-1.64711663419333
scenario92,-2.81856646200153,2.55236430157149
scenario93,1.79668640609476,3.66153247943476
scenario94,-3.4881556094474,2.09115113362767
scenario95,0.662737971050803,1.3952021684832
scenario96,-5.72210971370031,2.2123913759728
scenario97,-0.0486033908653949,0.664041644588731
scenario98,-6.90560145267307,0.125266778393128
scenario99,-0.199663430930382,3.78292492462137
scenario100,1.49179926692487,-0.684431558858892
scenario101,-2.59418296468475,-1.01493889033243
scenario102,-6.69097621343898,-1.8535326163732
scenario103,-2.69073474881701,1.41316269539247
scenario104,1.83072716731492,1.89781375953646
scenario105,-6.49296561316794,-0.680553800491588
scenario106,4.30196273627313,-2.39568389820515
scenario107,-5.37329813012504,1.00497979400278
scenario108,3.65839854955496,0.976881810560072
scenario109,-7.0129840684894,-2.00685557847766
scenario110,0.197049978346473,-5.13511238507292
scenario111,2.41676203018981,0.538253057922422
scenario112,0.307465355525779,1.79138215664605
scenario113,-8.28173446210421,-0.885540443657331
scenario114,-11.1001885545859,-1.39168425559131
scenario115,0.571855068384939,5.97648550294494
scenario116,-0.723216588267397,-1.68503854674153
scenario117,-0.217820646735497,0.116961277613376
scenario118,-6.70701244235496,2.38272979717844
scenario119,4.91430735153196,-1.72173825929721
scenario120,-7.881011302463,-0.304419094159218
scenario121,-2.84596862627289,-6.04815942833018
scenario122,-4.49747087706837,5.39877112951634
scenario123,-5.37668540852239,-4.55281208785349
scenario124,-2.71275080038011,5.03034010304452
scenario125,-4.46205278303197,-3.70797035193722
