Row,Best_Algorithm
scenario0,0
scenario1,1
scenario2,0
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,0
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,0
scenario14,0
scenario15,0
scenario16,0
scenario17,0
scenario18,0
scenario19,0
scenario20,0
scenario21,1
scenario22,0
scenario23,0
scenario24,0
scenario25,0
scenario26,0
scenario27,0
scenario28,1
scenario29,0
scenario30,1
scenario31,0
scenario32,0
scenario33,0
scenario34,1
scenario35,0
scenario36,0
scenario37,0
scenario38,0
scenario39,0
scenario40,0
scenario41,0
scenario42,0
scenario43,0
scenario44,0
scenario45,1
scenario46,0
scenario47,0
scenario48,0
scenario49,0
scenario50,0
scenario51,0
scenario52,0
scenario53,0
scenario54,0
scenario55,0
scenario56,0
scenario57,0
scenario58,0
scenario59,0
scenario60,0
scenario61,0
scenario62,0
scenario63,0
scenario64,0
scenario65,0
scenario66,0
scenario67,0
scenario68,0
scenario69,0
scenario70,0
scenario71,0
scenario72,0
scenario73,0
scenario74,0
scenario75,0
scenario76,0
scenario77,0
scenario78,0
scenario79,0
scenario80,0
scenario81,0
scenario82,0
scenario83,0
scenario84,0
scenario85,0
scenario86,0
scenario87,1
scenario88,0
scenario89,0
scenario90,0
scenario91,0
scenario92,0
scenario93,0
scenario94,0
scenario95,0
scenario96,0
scenario97,0
scenario98,0
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,0
scenario104,0
scenario105,0
scenario106,0
scenario107,0
scenario108,0
scenario109,0
scenario110,0
scenario111,0
scenario112,0
scenario113,0
scenario114,0
scenario115,0
scenario116,0
scenario117,0
scenario118,0
scenario119,0
scenario120,0
scenario121,0
scenario122,0
scenario123,0
scenario124,0
scenario125,0
scenario126,0
scenario127,0
scenario128,0
scenario129,0
scenario130,0
scenario131,0
scenario132,0
scenario133,0
scenario134,0
scenario135,0
scenario136,0
scenario137,0
scenario138,0
scenario139,0
scenario140,0
scenario141,0
scenario142,0
scenario143,0
scenario144,0
scenario145,0
scenario146,0
scenario147,0
scenario148,0
scenario149,0
scenario150,0
scenario151,0
scenario152,0
scenario153,0
scenario154,0
scenario155,0
scenario156,0
scenario157,0
scenario158,1
scenario159,0
scenario160,0
scenario161,0
scenario162,0
scenario163,0
scenario164,0
scenario165,0
scenario166,0
scenario167,0
scenario168,0
scenario169,0
scenario170,0
scenario171,0
scenario172,0
scenario173,0
scenario174,0
scenario175,0
scenario176,0
scenario177,0
scenario178,0
scenario179,0
scenario180,0
scenario181,0
scenario182,0
scenario183,0
scenario184,0
scenario185,0
scenario186,0
scenario187,0
scenario188,0
scenario189,0
scenario190,0
scenario191,0
scenario192,0
scenario193,0
scenario194,0
scenario195,0
scenario196,0
scenario197,0
scenario198,0
scenario199,0
scenario200,0
scenario201,0
scenario202,0
scenario203,0
scenario204,0
scenario205,1
scenario206,0
scenario207,0
scenario208,0
scenario209,0
scenario210,0
scenario211,0
scenario212,1
scenario213,0
scenario214,0
scenario215,0
scenario216,0
scenario217,0
scenario218,1
scenario219,0
scenario220,0
scenario221,0
scenario222,0
scenario223,1
scenario224,0
scenario225,0
scenario226,0
scenario227,0
scenario228,0
scenario229,0
scenario230,1
scenario231,0
scenario232,0
scenario233,0
scenario234,0
scenario235,0
scenario236,0
scenario237,0
scenario238,0
scenario239,0
scenario240,0
scenario241,0
scenario242,0
scenario243,0
scenario244,0
scenario245,0
scenario246,0
scenario247,0
scenario248,0
scenario249,0
scenario250,0
scenario251,0
scenario252,0
scenario253,0
scenario254,0
scenario255,0
scenario256,0
scenario257,0
scenario258,0
scenario259,0
scenario260,0
scenario261,1
scenario262,0
scenario263,0
scenario264,0
scenario265,0
scenario266,0
scenario267,0
scenario268,0
scenario269,0
scenario270,0
scenario271,0
scenario272,0
scenario273,0
scenario274,0
scenario275,0
scenario276,0
scenario277,0
scenario278,0
scenario279,0
scenario280,0
scenario281,0
scenario282,0
scenario283,0
scenario284,0
scenario285,0
scenario286,0
scenario287,0
scenario288,0
scenario289,0
scenario290,0
scenario291,0
scenario292,0
scenario293,0
scenario294,0
scenario295,0
scenario296,0
scenario297,0
scenario298,0
scenario299,0
scenario300,0
scenario301,0
scenario302,0
scenario303,0
scenario304,0
scenario305,0
scenario306,1
scenario307,0
scenario308,0
scenario309,0
scenario310,0
scenario311,0
scenario312,0
scenario313,0
scenario314,0
scenario315,0
scenario316,0
scenario317,0
scenario318,0
scenario319,0
scenario320,0
scenario321,0
scenario322,1
scenario323,0
scenario324,0
scenario325,0
scenario326,0
scenario327,0
scenario328,0
scenario329,0
scenario330,0
scenario331,0
scenario332,0
scenario333,0
scenario334,0
scenario335,0
scenario336,0
scenario337,0
scenario338,0
scenario339,1
scenario340,0
scenario341,0
