Row,z_1,z_2
scenario0,1.83498606982014,1.55404018811735
scenario1,-7.73576891383685,4.50197456629231
scenario2,0.70158462353775,-2.93975530580224
scenario3,-0.730529209019284,-1.03190332846726
scenario4,-7.57122263532944,0.857706278109472
scenario5,5.19763501900235,-0.486757322257482
scenario6,3.49708747576226,-1.61062084855396
scenario7,-4.65562614890579,-0.316939184241117
scenario8,-3.02290931974522,-2.42601855049202
scenario9,3.36490514629751,0.0685137319693302
scenario10,-5.11438544065887,2.5216435167907
scenario11,0.731022912962984,2.29748915011868
scenario12,3.56970818761688,-5.09804735897583
scenario13,-1.66617957444902,-4.75105099128866
scenario14,-2.35062435276371,1.53954404947995
scenario15,-0.764273549798313,1.03126705207804
scenario16,-4.13085928185045,-3.70995136245783
scenario17,-1.08969173161538,-2.41675097019942
scenario18,1.96725628592819,-5.0624685064361
scenario19,0.322702193517504,-4.03314160326332
scenario20,2.61044631517604,1.85177687551164
scenario21,-4.47357021203478,5.92098659173293
scenario22,-1.32315668435146,0.810721315663312
scenario23,2.83250514435946,0.722164988806439
scenario24,1.45906526677439,0.2321575261184
scenario25,1.21998473014319,-2.43712526200606
scenario26,0.833739382047862,-2.83139857800597
scenario27,2.27743993560283,-6.25311723284604
scenario28,-10.1143808277827,-0.602170242288338
scenario29,-8.2688985405605,-7.41839612169288
scenario30,-2.70539587606807,5.3032380055569
scenario31,-7.2533312304651,1.1741385579487
scenario32,-7.77804187327187,-3.92260038916049
scenario33,-0.956598887684125,-2.3323488058987
scenario34,-5.60429177295799,3.55974065520581
scenario35,-4.19711956131918,-4.39873580047829
scenario36,2.06691476732697,0.562243219662294
scenario37,-0.130621393678079,-2.89214204923794
scenario38,2.60256170155867,-3.66000248116423
scenario39,2.41051238784988,-2.8667565453201
scenario40,-3.85049610478985,0.506043284204041
scenario41,0.822817294614707,-2.19844347705905
scenario42,4.57175931628886,-3.23592554071808
scenario43,2.78093535329167,-4.57967284142111
scenario44,-3.36445532760557,-1.21480717816827
scenario45,-9.34924108702654,1.25649675750436
scenario46,-1.00048488207226,0.908577899174253
scenario47,3.55444560409018,0.944446708040957
scenario48,-2.53763998281318,-3.39587516336964
scenario49,-4.71582203079245,3.3123635529762
scenario50,-2.55490650441884,-0.436215798862499
scenario51,3.65268518003613,-1.7432047321106
scenario52,-1.63961873156421,-3.56992283445307
scenario53,-0.335655597567753,-4.30749718660416
scenario54,9.06012468442201,-3.59360255106449
scenario55,1.00301823764214,-3.1901504288662
scenario56,1.83439832799872,-5.87296324399517
scenario57,-2.05967881832634,-2.65554983986611
