Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,BoxConstraint,KernelScale
collision,0.301,0.459,0.301,0.8,0.402,77,80,31.7,3.922,0.953
Oracle,0.301,0.459,1,,,,,,,
Selector,0.301,0.459,0.301,0.8,0.402,,80,31.7,,
