Row,collision
scenario0,-0.656585929744048
scenario1,1.52129721080319
scenario2,-0.656585929744048
scenario3,-0.656585929744048
scenario4,-0.656585929744048
scenario5,-0.656585929744048
scenario6,-0.656585929744048
scenario7,-0.656585929744048
scenario8,-0.656585929744048
scenario9,-0.656585929744048
scenario10,-0.656585929744048
scenario11,-0.656585929744048
scenario12,-0.656585929744048
scenario13,-0.656585929744048
scenario14,-0.656585929744048
scenario15,1.52129721080319
scenario16,-0.656585929744048
scenario17,-0.656585929744048
scenario18,-0.656585929744048
scenario19,-0.656585929744048
scenario20,1.52129721080319
scenario21,1.52129721080319
scenario22,-0.656585929744048
scenario23,-0.656585929744048
scenario24,-0.656585929744048
scenario25,-0.656585929744048
scenario26,-0.656585929744048
scenario27,-0.656585929744048
scenario28,-0.656585929744048
scenario29,-0.656585929744048
scenario30,-0.656585929744048
scenario31,-0.656585929744048
scenario32,1.52129721080319
scenario33,-0.656585929744048
scenario34,-0.656585929744048
scenario35,-0.656585929744048
scenario36,-0.656585929744048
scenario37,-0.656585929744048
scenario38,-0.656585929744048
scenario39,-0.656585929744048
scenario40,-0.656585929744048
scenario41,-0.656585929744048
scenario42,-0.656585929744048
scenario43,-0.656585929744048
scenario44,-0.656585929744048
scenario45,-0.656585929744048
scenario46,-0.656585929744048
scenario47,-0.656585929744048
scenario48,-0.656585929744048
scenario49,-0.656585929744048
scenario50,-0.656585929744048
scenario51,-0.656585929744048
scenario52,-0.656585929744048
scenario53,-0.656585929744048
scenario54,-0.656585929744048
scenario55,-0.656585929744048
scenario56,-0.656585929744048
scenario57,-0.656585929744048
scenario58,-0.656585929744048
scenario59,-0.656585929744048
scenario60,-0.656585929744048
scenario61,-0.656585929744048
scenario62,-0.656585929744048
scenario63,-0.656585929744048
scenario64,-0.656585929744048
scenario65,1.52129721080319
scenario66,-0.656585929744048
scenario67,-0.656585929744048
scenario68,-0.656585929744048
scenario69,-0.656585929744048
scenario70,1.52129721080319
scenario71,-0.656585929744048
scenario72,1.52129721080319
scenario73,-0.656585929744048
scenario74,-0.656585929744048
scenario75,-0.656585929744048
scenario76,-0.656585929744048
scenario77,-0.656585929744048
scenario78,-0.656585929744048
scenario79,-0.656585929744048
scenario80,-0.656585929744048
scenario81,-0.656585929744048
scenario82,-0.656585929744048
scenario83,-0.656585929744048
scenario84,-0.656585929744048
scenario85,-0.656585929744048
scenario86,-0.656585929744048
scenario87,-0.656585929744048
scenario88,-0.656585929744048
scenario89,-0.656585929744048
scenario90,-0.656585929744048
scenario91,-0.656585929744048
scenario92,-0.656585929744048
scenario93,-0.656585929744048
scenario94,-0.656585929744048
scenario95,-0.656585929744048
scenario96,-0.656585929744048
scenario97,-0.656585929744048
scenario98,-0.656585929744048
scenario99,-0.656585929744048
scenario100,-0.656585929744048
scenario101,-0.656585929744048
scenario102,-0.656585929744048
scenario103,-0.656585929744048
scenario104,-0.656585929744048
scenario105,-0.656585929744048
scenario106,-0.656585929744048
scenario107,-0.656585929744048
scenario108,-0.656585929744048
scenario109,-0.656585929744048
scenario110,-0.656585929744048
scenario111,-0.656585929744048
scenario112,1.52129721080319
scenario113,-0.656585929744048
scenario114,-0.656585929744048
scenario115,-0.656585929744048
scenario116,-0.656585929744048
scenario117,-0.656585929744048
scenario118,-0.656585929744048
scenario119,-0.656585929744048
scenario120,-0.656585929744048
scenario121,-0.656585929744048
scenario122,-0.656585929744048
scenario123,-0.656585929744048
scenario124,1.52129721080319
scenario125,-0.656585929744048
scenario126,-0.656585929744048
scenario127,-0.656585929744048
scenario128,-0.656585929744048
scenario129,-0.656585929744048
scenario130,-0.656585929744048
scenario131,-0.656585929744048
scenario132,-0.656585929744048
scenario133,-0.656585929744048
scenario134,-0.656585929744048
scenario135,-0.656585929744048
scenario136,-0.656585929744048
scenario137,-0.656585929744048
scenario138,-0.656585929744048
scenario139,-0.656585929744048
scenario140,-0.656585929744048
scenario141,-0.656585929744048
scenario142,-0.656585929744048
scenario143,1.52129721080319
scenario144,-0.656585929744048
scenario145,-0.656585929744048
scenario146,-0.656585929744048
scenario147,-0.656585929744048
scenario148,-0.656585929744048
scenario149,-0.656585929744048
scenario150,-0.656585929744048
scenario151,-0.656585929744048
scenario152,-0.656585929744048
scenario153,-0.656585929744048
scenario154,-0.656585929744048
scenario155,-0.656585929744048
scenario156,-0.656585929744048
scenario157,-0.656585929744048
scenario158,-0.656585929744048
scenario159,-0.656585929744048
scenario160,1.52129721080319
scenario161,-0.656585929744048
scenario162,-0.656585929744048
scenario163,-0.656585929744048
scenario164,1.52129721080319
scenario165,-0.656585929744048
scenario166,-0.656585929744048
scenario167,-0.656585929744048
scenario168,-0.656585929744048
scenario169,-0.656585929744048
scenario170,-0.656585929744048
scenario171,1.52129721080319
scenario172,-0.656585929744048
scenario173,-0.656585929744048
scenario174,-0.656585929744048
scenario175,-0.656585929744048
scenario176,-0.656585929744048
scenario177,-0.656585929744048
scenario178,-0.656585929744048
scenario179,-0.656585929744048
scenario180,1.52129721080319
scenario181,-0.656585929744048
scenario182,-0.656585929744048
scenario183,-0.656585929744048
scenario184,-0.656585929744048
scenario185,-0.656585929744048
scenario186,1.52129721080319
scenario187,-0.656585929744048
scenario188,-0.656585929744048
scenario189,-0.656585929744048
scenario190,-0.656585929744048
scenario191,-0.656585929744048
scenario192,-0.656585929744048
scenario193,1.52129721080319
scenario194,-0.656585929744048
scenario195,-0.656585929744048
scenario196,-0.656585929744048
scenario197,-0.656585929744048
scenario198,-0.656585929744048
scenario199,-0.656585929744048
